    kworker/u8:1-85    [001] d..1.    26.580528: funcgraph_entry:        0.230 us   |                          space_used(); (ret=0x68)
    kworker/u8:1-85    [001] d..1.    26.580528: funcgraph_exit:         1.760 us   |                        } (ret=0xffffc401)
    kworker/u8:1-85    [001] d..1.    26.580528: funcgraph_entry:                   |                        printk_sprint() {
    kworker/u8:1-85    [001] d..1.    26.580529: funcgraph_entry:        0.250 us   |                          printk_parse_prefix(); (ret=0x2)
    kworker/u8:1-85    [001] d..1.    26.580530: funcgraph_exit:         1.400 us   |                        } (ret=0x55)
    kworker/u8:1-85    [001] d..1.    26.580530: funcgraph_entry:                   |                        prb_final_commit() {
    kworker/u8:1-85    [001] d..1.    26.580530: funcgraph_entry:        0.220 us   |                          _prb_commit(); (ret=0x0)
    kworker/u8:1-85    [001] d..1.    26.580531: funcgraph_entry:                   |                          desc_update_last_finalized() {
    kworker/u8:1-85    [001] d..1.    26.580531: funcgraph_entry:                   |                            _prb_read_valid() {
    kworker/u8:1-85    [001] d..1.    26.580531: funcgraph_entry:                   |                              desc_read_finalized_seq() {
    kworker/u8:1-85    [001] d..1.    26.580532: funcgraph_entry:        0.210 us   |                                desc_read(); (ret=0x2)
    kworker/u8:1-85    [001] d..1.    26.580532: funcgraph_exit:         0.670 us   |                              } (ret=0x0)
    kworker/u8:1-85    [001] d..1.    26.580532: funcgraph_exit:         1.140 us   |                            } (ret=0x1)
    kworker/u8:1-85    [001] d..1.    26.580533: funcgraph_entry:                   |                            _prb_read_valid() {
    kworker/u8:1-85    [001] d..1.    26.580533: funcgraph_entry:                   |                              desc_read_finalized_seq() {
    kworker/u8:1-85    [001] d..1.    26.580533: funcgraph_entry:        0.230 us   |                                desc_read(); (ret=0xffffffff)
    kworker/u8:1-85    [001] d..1.    26.580533: funcgraph_exit:         0.680 us   |                              } (ret=0xffffffea)
    kworker/u8:1-85    [001] d..1.    26.580534: funcgraph_entry:        0.220 us   |                              desc_read(); (ret=0x3)
    kworker/u8:1-85    [001] d..1.    26.580534: funcgraph_entry:        0.220 us   |                              panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-85    [001] d..1.    26.580535: funcgraph_exit:         2.080 us   |                            } (ret=0x0)
    kworker/u8:1-85    [001] d..1.    26.580535: funcgraph_exit:         3.940 us   |                          } (ret=0x0)
    kworker/u8:1-85    [001] d..1.    26.580535: funcgraph_exit:         4.900 us   |                        } (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580535: funcgraph_exit:       + 12.090 us  |                      } (ret=0x55)
    kworker/u8:1-85    [001] ...2.    26.580536: funcgraph_entry:        0.220 us   |                      panic_on_other_cpu(); (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580536: funcgraph_entry:                   |                      __down_trylock_console_sem.isra.0() {
    kworker/u8:1-85    [001] d..2.    26.580536: funcgraph_entry:        0.210 us   |                        __printk_safe_enter(); (ret=0x282)
    kworker/u8:1-85    [001] d..2.    26.580537: funcgraph_entry:                   |                        down_trylock() {
