 systemd-network-794   [000] d..2.    40.076697: funcgraph_entry:        0.210 us   |              _raw_spin_lock_irqsave(); (ret=0x92)
 systemd-network-794   [000] d..3.    40.076697: funcgraph_entry:                   |              select_task_rq_fair() {
 systemd-network-794   [000] d..3.    40.076698: funcgraph_entry:        0.240 us   |                choose_idle_cpu(); (ret=0x0)
 systemd-network-794   [000] d..3.    40.076698: funcgraph_exit:         0.740 us   |              } (ret=0x0)
 systemd-network-794   [000] d..3.    40.076698: funcgraph_entry:        0.230 us   |              kthread_is_per_cpu(); (ret=0x0)
 systemd-network-794   [000] d..3.    40.076699: funcgraph_entry:                   |              ttwu_queue_wakelist() {
 systemd-network-794   [000] d..3.    40.076699: funcgraph_entry:        0.220 us   |                scx_allow_ttwu_queue(); (ret=0x1)
 systemd-network-794   [000] d..3.    40.076700: funcgraph_exit:         0.710 us   |              } (ret=0x0)
 systemd-network-794   [000] d..3.    40.076700: funcgraph_entry:                   |              raw_spin_rq_lock_nested.constprop.0() {
 systemd-network-794   [000] d..4.    40.076700: funcgraph_entry:        0.210 us   |                _raw_spin_lock(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076700: funcgraph_exit:         0.660 us   |              } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076701: funcgraph_entry:                   |              update_rq_clock() {
 systemd-network-794   [000] d..4.    40.076701: funcgraph_entry:        0.210 us   |                arch_scale_cpu_capacity(); (ret=0x400)
 systemd-network-794   [000] d..4.    40.076701: funcgraph_exit:         0.780 us   |              } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076702: funcgraph_entry:                   |              ttwu_do_activate() {
 systemd-network-794   [000] d..4.    40.076702: funcgraph_entry:                   |                enqueue_task() {
 systemd-network-794   [000] d..4.    40.076702: funcgraph_entry:                   |                  enqueue_task_fair() {
 systemd-network-794   [000] d..4.    40.076703: funcgraph_entry:                   |                    update_curr() {
 systemd-network-794   [000] d..4.    40.076703: funcgraph_entry:                   |                      update_se() {
 systemd-network-794   [000] d..4.    40.076703: funcgraph_entry:        0.240 us   |                        cpuacct_charge(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076704: funcgraph_entry:                   |                        __cgroup_account_cputime() {
 systemd-network-794   [000] d..5.    40.076704: funcgraph_entry:        0.240 us   |                          __css_rstat_updated(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076704: funcgraph_exit:         0.720 us   |                        } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076705: funcgraph_exit:         1.730 us   |                      } (ret=0x10bf8)
 systemd-network-794   [000] d..4.    40.076705: funcgraph_entry:                   |                      dl_server_update() {
 systemd-network-794   [000] d..4.    40.076705: funcgraph_entry:        0.220 us   |                        update_curr_dl_se(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076706: funcgraph_exit:         0.690 us   |                      } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076706: funcgraph_exit:         3.160 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076706: funcgraph_entry:                   |                    update_curr() {
 systemd-network-794   [000] d..4.    40.076706: funcgraph_entry:        0.220 us   |                      update_se(); (ret=0x10bf8)
 systemd-network-794   [000] d..4.    40.076707: funcgraph_exit:         0.690 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076707: funcgraph_entry:        0.250 us   |                    __update_load_avg_se(); (ret=0x1)
 systemd-network-794   [000] d..4.    40.076708: funcgraph_entry:        0.240 us   |                    __update_load_avg_cfs_rq(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076708: funcgraph_entry:        0.210 us   |                    account_llc_enqueue(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076709: funcgraph_entry:        0.210 us   |                    reweight_eevdf(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076709: funcgraph_entry:                   |                    place_entity() {
 systemd-network-794   [000] d..4.    40.076709: funcgraph_entry:        0.200 us   |                      avg_vruntime(); (ret=0x2844e9e26)
 systemd-network-794   [000] d..4.    40.076710: funcgraph_exit:         0.690 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076710: funcgraph_entry:        0.290 us   |                    __enqueue_entity(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076711: funcgraph_entry:        0.260 us   |                    hrtimer_active(); (ret=0x1)
 systemd-network-794   [000] d..4.    40.076711: funcgraph_exit:         8.780 us   |                  } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076711: funcgraph_entry:                   |                  psi_task_change() {
 systemd-network-794   [000] d..4.    40.076712: funcgraph_entry:        0.200 us   |                    psi_flags_change(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076712: funcgraph_entry:                   |                    psi_group_change() {
 systemd-network-794   [000] d..4.    40.076712: funcgraph_entry:        0.240 us   |                      record_times(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076713: funcgraph_exit:         0.720 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076713: funcgraph_exit:         1.740 us   |                  } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076713: funcgraph_exit:       + 11.300 us  |                } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076714: funcgraph_entry:                   |                wakeup_preempt() {
 systemd-network-794   [000] d..4.    40.076714: funcgraph_entry:                   |                  wakeup_preempt_fair() {
 systemd-network-794   [000] d..4.    40.076714: funcgraph_entry:                   |                    update_curr() {
 systemd-network-794   [000] d..4.    40.076714: funcgraph_entry:        0.210 us   |                      update_se(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076715: funcgraph_exit:         0.670 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076715: funcgraph_entry:                   |                    update_curr() {
 systemd-network-794   [000] d..4.    40.076715: funcgraph_entry:        0.220 us   |                      update_se(); (ret=0x10bf8)
 systemd-network-794   [000] d..4.    40.076716: funcgraph_exit:         0.910 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076716: funcgraph_entry:                   |                    update_curr() {
 systemd-network-794   [000] d..4.    40.076716: funcgraph_entry:        0.210 us   |                      update_se(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076717: funcgraph_exit:         0.710 us   |                    } (ret=0x0)
 systemd-network-794   [000] d..4.    40.076717: funcgraph_entry:                   |                    pick_eevdf() {
 systemd-network-794   [000] d..4.    40.076717: funcgraph_entry:        0.220 us   |                      vruntime_eligible(); (ret=0x0)
 systemd-network-794   [000] d..4.    40.076718: funcgraph_entry:        0.210 us   |                      vruntime_eligible(); (ret=0x1)
 systemd-network-794   [000] d..4.    40.076718: funcgraph_exit:         1.160 us   |                    } (ret=0xffff89e480858080)
 systemd-network-794   [000] d..4.    40.076719: funcgraph_entry:                   |                    resched_curr_lazy() {
 systemd-network-794   [000] d..4.    40.076719: funcgraph_entry:        0.230 us   |                      __resched_curr(); (ret=0x0)
 systemd-network-794   [000] dL.4.    40.076719: funcgraph_exit:         0.690 us   |                    } (ret=0x0)
 systemd-network-794   [000] dL.4.    40.076719: funcgraph_exit:         5.690 us   |                  } (ret=0x0)
 systemd-network-794   [000] dL.4.    40.076720: funcgraph_exit:         6.180 us   |                } (ret=0x0)
 systemd-network-794   [000] dL.4.    40.076720: funcgraph_exit:       + 18.680 us  |              } (ret=0x0)
 systemd-network-794   [000] dL.4.    40.076721: funcgraph_entry:        0.220 us   |              _raw_spin_unlock(); (ret=0x0)
 systemd-network-794   [000] dL.3.    40.076721: funcgraph_entry:        0.230 us   |              _raw_spin_unlock_irqrestore(); (ret=0x0)
 systemd-network-794   [000] dL.1.    40.076722: funcgraph_exit:       + 25.050 us  |            } (ret=0x1)
 systemd-network-794   [000] dL.1.    40.076722: funcgraph_exit:       + 25.520 us  |          } (ret=0x1)
 systemd-network-794   [000] dL.1.    40.076722: funcgraph_entry:        0.220 us   |          __rcu_read_unlock(); (ret=0x0)
 systemd-network-794   [000] dL.1.    40.076723: funcgraph_exit:       + 29.250 us  |        } (ret=0x0)
 systemd-network-794   [000] .L.1.    40.076723: funcgraph_exit:       + 30.240 us  |      } (ret=0x1)
 systemd-network-794   [000] .L.1.    40.076723: funcgraph_exit:       + 31.530 us  |    } (ret=0x0)
 systemd-network-794   [000] .L.1.    40.076723: funcgraph_exit:       + 32.480 us  |  } (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076739: funcgraph_entry:                   |  update_gid_event_work_handler() {
    kworker/u8:0-12    [000] ...1.    40.076739: funcgraph_entry:                   |    ib_enum_all_roce_netdevs() {
    kworker/u8:0-12    [000] ...1.    40.076739: funcgraph_entry:        0.270 us   |      down_read(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076740: funcgraph_entry:        0.220 us   |      __rcu_read_lock(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076740: funcgraph_entry:        0.220 us   |      __rcu_read_unlock(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076741: funcgraph_entry:        0.400 us   |      ib_enum_roce_netdev(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076741: funcgraph_entry:        0.220 us   |      __rcu_read_lock(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076742: funcgraph_entry:        0.220 us   |      __rcu_read_unlock(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076742: funcgraph_entry:        0.230 us   |      up_read(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076743: funcgraph_exit:         4.000 us   |    } (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076743: funcgraph_entry:        0.410 us   |    kfree(); (ret=0x0)
    kworker/u8:0-12    [000] ...1.    40.076744: funcgraph_exit:         5.260 us   |  } (ret=0x0)
      networkctl-1674  [001] .L.1.    40.084026: funcgraph_entry:                   |  inet6addr_event() {
      networkctl-1674  [001] .L.1.    40.084027: funcgraph_entry:                   |    addr_event.isra.0() {
      networkctl-1674  [001] .L.1.    40.084027: funcgraph_entry:        0.520 us   |      __kmalloc_cache_noprof(); (ret=0xffff89e481890c80)
      networkctl-1674  [001] .L.1.    40.084028: funcgraph_entry:                   |      queue_work_on() {
      networkctl-1674  [001] dL.1.    40.084028: funcgraph_entry:        0.230 us   |        clear_pending_if_disabled(); (ret=0x0)
      networkctl-1674  [001] dL.1.    40.084029: funcgraph_entry:                   |        __queue_work() {
